ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
Inventory.erasePurchase,1,0,1,non_negative
Inventory.getAllOwnedSkus,3,0,3,non_negative
Inventory.getAllPurchases,1,0,1,non_negative
Inventory.addSkuDetails,1,0,1,non_negative
Inventory.addPurchase,1,0,1,non_negative
In file,SkuDetails.java,,,
SkuDetails.<init>,1,0,1,non_negative
SkuDetails.SkuDetails,2,0,2,non_negative
SkuDetails.getSku,1,0,1,non_negative
SkuDetails.getType,1,0,1,non_negative
SkuDetails.getPrice,1,0,1,non_negative
SkuDetails.getTitle,1,0,1,non_negative
SkuDetails.getDescription,1,0,1,non_negative
SkuDetails.toString,1,0,1,non_negative
In file,Security.java,,,
Security.<init>,1,0,1,non_negative
Security.verifyPurchase,2,0,2,non_negative
Security.generatePublicKey,5,0,5,non_negative
Security.verify,7,0,7,non_negative
In file,IabResult.java,,,
IabResult.<init>,1,0,1,non_negative
IabResult.IabResult,3,0,3,non_negative
IabResult.getResponse,1,0,1,non_negative
IabResult.getMessage,1,0,1,non_negative
IabResult.isSuccess,1,0,1,non_negative
IabResult.isFailure,1,0,1,non_negative
IabResult.toString,1,0,1,non_negative
In file,IabException.java,,,
IabException.<init>,1,0,1,non_negative
IabException.IabException,4,0,4,non_negative
IabException.getResult,1,0,1,non_negative
In file,IabHelper.java,,,
IabHelper.<init>,1,0,1,non_negative
IabHelper.IabHelper,1,0,1,non_negative
IabHelper.enableDebugLogging,2,0,2,non_negative
IabHelper.startSetup,4,0,4,non_negative
1.onServiceDisconnected,1,0,1,non_negative
1.onServiceConnected,8,0,8,non_negative
IabHelper.dispose,2,0,2,non_negative
IabHelper.checkNotDisposed,1,0,1,non_negative
IabHelper.subscriptionsSupported,1,0,1,non_negative
IabHelper.launchPurchaseFlow,8,0,8,non_negative
IabHelper.launchSubscriptionPurchaseFlow,2,0,2,non_negative
IabHelper.handleActivityResult,12,0,12,non_negative
IabHelper.queryInventory,12,0,12,non_negative
IabHelper.queryInventoryAsync,3,0,3,non_negative
IabHelper.consume,7,0,7,non_negative
IabHelper.consumeAsync,2,0,2,non_negative
IabHelper.getResponseDesc,2,0,2,non_negative
IabHelper.checkSetupDone,2,0,2,non_negative
IabHelper.getResponseCodeFromBundle,3,0,3,non_negative
IabHelper.getResponseCodeFromIntent,3,0,3,non_negative
IabHelper.flagStartAsync,1,0,1,non_negative
IabHelper.flagEndAsync,1,0,1,non_negative
IabHelper.queryPurchases,8,0,8,non_negative
